2019-04-13T00:00:00Z,4-19-27-29-36-41,0.00,EUR
2019-04-10T00:00:00Z,1-4-21-22-37-39,20141696.00,EUR
2019-04-06T00:00:00Z,12-21-23-32-41-42,0.00,EUR
2019-04-03T00:00:00Z,2-5-7-9-13-22,0.00,EUR
2019-03-30T00:00:00Z,3-26-28-29-46-49,0.00,EUR
2019-03-27T00:00:00Z,10-15-31-36-40-48,20093490.00,EUR
2019-03-23T00:00:00Z,3-23-26-29-42-44,0.00,EUR
2019-03-20T00:00:00Z,4-9-19-40-44-47,20890760.00,EUR
2019-03-16T00:00:00Z,10-14-20-22-39-46,0.00,EUR
2019-03-13T00:00:00Z,15-19-20-33-34-36,0.00,EUR
2019-03-09T00:00:00Z,8-12-20-22-32-38,0.00,EUR
2019-03-06T00:00:00Z,1-9-35-37-43-46,20859856.00,EUR
2019-03-02T00:00:00Z,38-41-42-46-48-49,43914432.00,EUR
2019-02-27T00:00:00Z,11-13-19-20-24-49,20418964.00,EUR
2019-02-23T00:00:00Z,8-15-21-27-29-47,43115372.00,EUR
2019-02-20T00:00:00Z,5-11-12-19-21-48,20751908.00,EUR
2019-02-16T00:00:00Z,6-9-10-11-18-22,44572368.00,EUR
2019-02-13T00:00:00Z,5-11-23-31-42-43,22326658.00,EUR
2019-02-09T00:00:00Z,2-32-34-39-42-49,43955136.00,EUR
2019-02-06T00:00:00Z,5-10-21-22-33-36,23474334.00,EUR
2019-02-02T00:00:00Z,3-21-29-30-34-37,45837536.00,EUR
2019-01-30T00:00:00Z,7-13-19-22-23-36,21984284.00,EUR
2019-01-26T00:00:00Z,16-18-29-31-35-47,45025280.00,EUR
2019-01-23T00:00:00Z,6-7-33-35-37-42,37293772.00,EUR
2019-01-19T00:00:00Z,6-12-24-29-36-47,52218968.00,EUR
2019-01-16T00:00:00Z,5-6-12-13-31-35,28034872.00,EUR
2019-01-12T00:00:00Z,4-9-25-31-38-40,50567420.00,EUR
2019-01-09T00:00:00Z,7-8-14-22-29-44,25999908.00,EUR
2019-01-05T00:00:00Z,4-16-22-31-40-45,47764736.00,EUR
2019-01-02T00:00:00Z,5-13-15-17-19-36,23426040.00,EUR
2018-12-29T00:00:00Z,4-14-25-38-44-47,58926968.00,EUR
2018-12-26T00:00:00Z,2-16-22-30-36-43,23715224.00,EUR
2018-12-22T00:00:00Z,8-20-21-25-43-44,47376420.00,EUR
2018-12-19T00:00:00Z,4-12-19-32-34-41,22074364.00,EUR
2018-12-15T00:00:00Z,1-23-30-31-37-45,43892628.00,EUR
2018-12-12T00:00:00Z,3-7-20-33-34-48,20761914.00,EUR
2018-12-08T00:00:00Z,6-12-25-26-44-46,46450264.00,EUR
2018-12-05T00:00:00Z,13-29-36-47-48-49,22633700.00,EUR
